,0,1
457,BOTJ,"Bank of the James Financial Group, Inc. "
458,BOTZ,Global X Robotics & Artificial Intelligence ETF
459,BOWXU,BowX Acquisition Corp. 
460,BOWXW,BowX Acquisition Corp. 
461,BOXL,Boxlight Corporation 
462,BPFH,"Boston Private Financial Holdings, Inc. "
463,BPMC,Blueprint Medicines Corporation 
464,BPOP,"Popular, Inc. "
465,BPOPM,"Popular, Inc. "
466,BPOPN,"Popular, Inc. "
467,BPRN,The Bank of Princeton 
468,BPTH,Bio
469,BPY,Brookfield Property Partners L.P. 
470,BPYPN,Brookfield Property Partners L.P. 
471,BPYPO,Brookfield Property Partners L.P. 
472,BPYPP,Brookfield Property Partners L.P. 
473,BPYU,Brookfield Property REIT Inc. 
474,BPYUP,Brookfield Property REIT Inc. 
475,BREZU,Breeze Holdings Acquisition Corp. 
476,BRID,Bridgford Foods Corporation 
477,BRKL,"Brookline Bancorp, Inc. "
478,BRKR,Bruker Corporation 
479,BRKS,"Brooks Automation, Inc. "
480,BRLI,Brilliant Acquisition Corporation 
481,BRLIR,Brilliant Acquisition Corporation 
482,BRLIU,Brilliant Acquisition Corporation 
483,BRLIW,Brilliant Acquisition Corporation 
484,BROG,Brooge Energy Limited  
485,BROGW,Brooge Energy Limited  
486,BRP,"BRP Group, Inc. "
487,BRPA,Big Rock Partners Acquisition Corp. 
488,BRPAR,Big Rock Partners Acquisition Corp. 
489,BRPAU,Big Rock Partners Acquisition Corp. 
490,BRPAW,Big Rock Partners Acquisition Corp. 
491,BRQS,"Borqs Technologies, Inc.  "
492,BRY,Berry Corporation (bry) 
493,BSAE,Invesco BulletShares 2021 USD Emerging Markets Debt ETF
494,BSCE,Invesco BulletShares 2023 USD Emerging Markets Debt ETF
495,BSGM,"BioSig Technologies, Inc. "
496,BSJK,Invesco BulletShares 2020 High Yield Corporate Bond ETF
497,BSRR,Sierra Bancorp 
498,BSVN,Bank7 Corp. 
499,BSY,"Bentley Systems, Incorporated "
500,BTAI,"BioXcel Therapeutics, Inc. "
501,BTAQ,Burgundy Technology Acquisition Corporation 
502,BTAQU,Burgundy Technology Acquisition Corporation 
503,BTAQW,Burgundy Technology Acquisition Corporation 
504,BTBT,"Bit Digital, Inc. "
505,BTEC,Principal Healthcare Innovators Index ETF
506,BUG,Global X Cybersecurity ETF
507,BVXV,BiondVax Pharmaceuticals Ltd. 
508,BWACU,BETTER WORLD ACQUISITION CORP. 
509,BWAY,Brainsway Ltd. 
510,BWB,"Bridgewater Bancshares, Inc. "
511,BWEN,"Broadwind, Inc. "
512,BWFG,"Bankwell Financial Group, Inc. "
513,BWMX,"Betterware de Mexico, S.A.B de C.V. "
514,BXRX,"Baudax Bio, Inc. "
515,BYFC,Broadway Financial Corporation 
516,BYND,"Beyond Meat, Inc. "
517,BYSI,"BeyondSpring, Inc. "
518,BZUN,Baozun Inc. 
519,CAAS,"China Automotive Systems, Inc. "
520,CABA,"Cabaletta Bio, Inc. "
521,CAC,Camden National Corporation 
522,CACC,Credit Acceptance Corporation 
523,CACG,ClearBridge All Cap Growth ETF
524,CALA,"Calithera Biosciences, Inc. "
525,CALB,California BanCorp 
526,CALM,Cal
527,CALT,Calliditas Therapeutics AB 
528,CAMP,CalAmp Corp. 
529,CAMT,Camtek Ltd. 
530,CAN,Canaan Inc. 
531,CAPA,HighCape Capital Acquisition Corp. 
532,CAPAU,HighCape Capital Acquisition Corp. 
533,CAPAW,HighCape Capital Acquisition Corp. 
534,CAPR,"Capricor Therapeutics, Inc. "
535,CAR,"Avis Budget Group, Inc. "
536,CARA,"Cara Therapeutics, Inc. "
537,CARE,"Carter Bankshares, Inc. "
538,CARG,"CarGurus, Inc. "
539,CARV,"Carver Bancorp, Inc. "
540,CARZ,First Trust NASDAQ Global Auto Index Fund
541,CASH,"Meta Financial Group, Inc. "
